1981, 215.528119181630
1982, 186.86727019491
1983, 250.43241093089
1984, 216.64454071304
1985, 284.45902916363
1986, 397.75603230794
1987, 255.35126817283
1988, 192.10617867565
1989, 187.19665041914
1990, 235.12394110375
1991, 234.36190202202
1992, 193.18249388190
1993, 260.06416823829
1994, 212.91174684252
1995, 229.94549560546
1996, 256.41419121828
1997, 208.81290270463
1998, 319.17905531297
1999, 205.74216279567
2000, 252.70639119829
2001, 169.69496107398
2002, 144.56048298508
2003, 238.93397322488
2004, 309.92469226849
2005, 213.63442230224
2006, 175.17625594750
2007, 306.95102713023
2008, 204.48503529860
2009, 221.57972672234
2010, 216.54077148437
2011, 217.89027064760
2012, 207.40023946762
2013, 164.73613468285
2014, 151.94028326491
2015, 244.54646133113
2016, 142.52922034779
2017, 247.13527463731
2018, 222.41589975357
2019, 257.88088830312
2020, 224.11242053664
