1981, 86.159545898437
1982, 58.434013366699
1983, 82.714572616770
1984, 84.202902995364
1985, 83.530258178710
1986, 73.580589294433
1987, 87.785057067871
1988, 72.487106323242
1989, 84.868331909179
1990, 84.914604187011
1991, 65.859855651855
1992, 84.294602226965
1993, 96.823616027832
1994, 63.291121346609
1995, 56.677767141705
1996, 131.26016774643
1997, 100.19456100463
1998, 122.52909964484
1999, 76.560142517089
2000, 73.876111348470
2001, 54.479200363159
2002, 58.098274993896
2003, 72.560859680175
2004, 92.181161880493
2005, 58.674362182617
2006, 72.219624837239
2007, 108.27323758131
2008, 79.117683410644
2009, 116.35646311442
2010, 87.984100341796
2011, 79.920046488444
2012, 121.03446960449
2013, 66.693367004394
2014, 68.235229492187
2015, 100.62685394287
2016, 45.894588470458
2017, 114.72734069824
2018, 76.791664123535
2019, 82.758972167968
2020, 75.381877899169
